criteria_code,score_value,label,description
K1,1,Sangat Rendah,"Objek tidak memiliki keunikan khusus"
K1,2,Rendah,"Objek memiliki keunikan terbatas"
K1,3,Baik,"Objek cukup unik dan menarik pengunjung"
K1,4,Sangat Tinggi,"Objek sangat unik dan berkelas nasional/internasional"
K2,1,Sangat Buruk,"Tidak ada akses jalan, hanya bisa ditempuh dengan berjalan kaki jauh"
K2,2,Buruk,"Akses jalan rusak, transportasi umum terbatas"
K2,3,Baik,"Akses jalan aspal baik, ada transportasi umum"
K2,4,Sangat Baik,"Akses jalan tol/dekat bandara, transportasi sangat mudah"
K3,1,Sangat Minim,"Tidak ada fasilitas pendukung"
K3,2,Minim,"Fasilitas dasar saja (toilet, parkir)"
K3,3,Lengkap,"Fasilitas cukup lengkap (toilet, mushola, kantin, parkir)"
K3,4,Sangat Lengkap,"Fasilitas lengkap termasuk penginapan, pusat informasi, ATM"
K4,1,Sangat Buruk,"Lingkungan sangat tercemar dan tidak terawat"
K4,2,Buruk,"Lingkungan kurang bersih, perlu perbaikan"
K4,3,Baik,"Lingkungan bersih dan cukup terawat"
K4,4,Sangat Baik,"Lingkungan sangat bersih, terawat, dan lestari"
K5,1,Sangat Rendah,"Tingkat kejahatan tinggi, tidak ada pengamanan"
K5,2,Rendah,"Pengamanan terbatas, masih ada insiden"
K5,3,Baik,"Pengamanan memadai, jarang ada insiden"
K5,4,Sangat Tinggi,"Sangat aman, pengamanan ketat 24 jam"
K6,1,Sangat Rendah,"Tidak ada kontribusi ekonomi signifikan"
K6,2,Rendah,"Kontribusi ekonomi sangat kecil"
K6,3,Baik,"Menciptakan lapangan kerja dan UMKM sekitar"
K6,4,Sangat Tinggi,"Kontributor utama ekonomi daerah, banyak UMKM tumbuh"
K7,1,Sangat Mahal,"Butuh investasi sangat besar (>10 Miliar)"
K7,2,Mahal,"Butuh investasi besar (5-10 Miliar)"
K7,3,Sedang,"Butuh investasi sedang (1-5 Miliar)"
K7,4,Murah,"Butuh investasi kecil (<1 Miliar)"
