session_name,criteria_i_code,criteria_j_code,value
Skenario A,K1,K1,1
Skenario A,K1,K2,2
Skenario A,K1,K3,3
Skenario A,K1,K4,4
Skenario A,K1,K5,2
Skenario A,K1,K6,5
Skenario A,K1,K7,1/2
Skenario A,K2,K1,1/2
Skenario A,K2,K2,1
Skenario A,K2,K3,2
Skenario A,K2,K4,3
Skenario A,K2,K5,2
Skenario A,K2,K6,4
Skenario A,K2,K7,1/3
Skenario A,K3,K1,1/3
Skenario A,K3,K2,1/2
Skenario A,K3,K3,1
Skenario A,K3,K4,2
Skenario A,K3,K5,1/2
Skenario A,K3,K6,3
Skenario A,K3,K7,1/4
Skenario A,K4,K1,1/4
Skenario A,K4,K2,1/3
Skenario A,K4,K3,1/2
Skenario A,K4,K4,1
Skenario A,K4,K5,1/2
Skenario A,K4,K6,2
Skenario A,K4,K7,1/5
Skenario A,K5,K1,1/2
Skenario A,K5,K2,1/2
Skenario A,K5,K3,2
Skenario A,K5,K4,2
Skenario A,K5,K5,1
Skenario A,K5,K6,3
Skenario A,K5,K7,1/3
Skenario A,K6,K1,1/5
Skenario A,K6,K2,1/4
Skenario A,K6,K3,1/3
Skenario A,K6,K4,1/2
Skenario A,K6,K5,1/3
Skenario A,K6,K6,1
Skenario A,K6,K7,1/7
Skenario A,K7,K1,2
Skenario A,K7,K2,3
Skenario A,K7,K3,4
Skenario A,K7,K4,5
Skenario A,K7,K5,3
Skenario A,K7,K6,7
Skenario A,K7,K7,1
