session_name,criteria_i_code,criteria_j_code,value
Skenario A,K1,K1,1
Skenario A,K1,K2,3
Skenario A,K1,K3,5
Skenario A,K1,K4,4
Skenario A,K1,K5,3
Skenario A,K1,K6,2
Skenario A,K1,K7,6
Skenario A,K2,K1,0.3333
Skenario A,K2,K2,1
Skenario A,K2,K3,3
Skenario A,K2,K4,2
Skenario A,K2,K5,1
Skenario A,K2,K6,0.5
Skenario A,K2,K7,4
Skenario A,K3,K1,0.2
Skenario A,K3,K2,0.3333
Skenario A,K3,K3,1
Skenario A,K3,K4,0.5
Skenario A,K3,K5,0.3333
Skenario A,K3,K6,0.25
Skenario A,K3,K7,2
Skenario A,K4,K1,0.25
Skenario A,K4,K2,0.5
Skenario A,K4,K3,2
Skenario A,K4,K4,1
Skenario A,K4,K5,0.5
Skenario A,K4,K6,0.3333
Skenario A,K4,K7,3
Skenario A,K5,K1,0.3333
Skenario A,K5,K2,1
Skenario A,K5,K3,3
Skenario A,K5,K4,2
Skenario A,K5,K5,1
Skenario A,K5,K6,0.5
Skenario A,K5,K7,4
Skenario A,K6,K1,0.5
Skenario A,K6,K2,2
Skenario A,K6,K3,4
Skenario A,K6,K4,3
Skenario A,K6,K5,2
Skenario A,K6,K6,1
Skenario A,K6,K7,5
Skenario A,K7,K1,0.1667
Skenario A,K7,K2,0.25
Skenario A,K7,K3,0.5
Skenario A,K7,K4,0.3333
Skenario A,K7,K5,0.25
Skenario A,K7,K6,0.2
Skenario A,K7,K7,1
Skenario B,K1,K1,1
Skenario B,K1,K2,2
Skenario B,K1,K3,4
Skenario B,K1,K4,3
Skenario B,K1,K5,2
Skenario B,K1,K6,5
Skenario B,K1,K7,7
Skenario B,K2,K1,0.5
Skenario B,K2,K2,1
Skenario B,K2,K3,2
Skenario B,K2,K4,1
Skenario B,K2,K5,0.5
Skenario B,K2,K6,3
Skenario B,K2,K7,4
Skenario B,K3,K1,0.25
Skenario B,K3,K2,0.5
Skenario B,K3,K3,1
Skenario B,K3,K4,0.5
Skenario B,K3,K5,0.3333
Skenario B,K3,K6,2
Skenario B,K3,K7,3
Skenario B,K4,K1,0.3333
Skenario B,K4,K2,1
Skenario B,K4,K3,2
Skenario B,K4,K4,1
Skenario B,K4,K5,0.5
Skenario B,K4,K6,2
Skenario B,K4,K7,3
Skenario B,K5,K1,0.5
Skenario B,K5,K2,2
Skenario B,K5,K3,3
Skenario B,K5,K4,2
Skenario B,K5,K5,1
Skenario B,K5,K6,3
Skenario B,K5,K7,4
Skenario B,K6,K1,0.2
Skenario B,K6,K2,0.3333
Skenario B,K6,K3,0.5
Skenario B,K6,K4,0.5
Skenario B,K6,K5,0.3333
Skenario B,K6,K6,1
Skenario B,K6,K7,2
Skenario B,K7,K1,0.1429
Skenario B,K7,K2,0.25
Skenario B,K7,K3,0.3333
Skenario B,K7,K4,0.3333
Skenario B,K7,K5,0.25
Skenario B,K7,K6,0.5
Skenario B,K7,K7,1
